field_1,field_2,field_3,field_4,field_5,RE_count,RE_mean,RE_median,B_count,B_mean,B_median,G_count,G_mean,G_median,NIR_count,NIR_mean,NIR_median,R_count,R_mean,R_median
253,764976.514,6309951.706,22.42,5,232,20725.6379310345,19368,232,97.5862068965517,98,232,16060.9655172414,15918,232,16674.5862068966,15360.5,232,13073.650862069,13037
254,764983.487,6309951.178,22.418,4,233,18654.7210300429,17510,233,109.545064377682,112,233,15952.0472103004,15561,233,13787.4506437768,12908,233,14019.6652360515,14210
255,764990.486,6309950.607,22.417,5,233,18340.0300429185,17949,233,99.1630901287554,99,233,14917.347639485,14791,233,14389.2746781116,13862,233,12541.30472103,12510
256,764991.332,6309952.584,22.462,0,232,17950.5215517241,16833,232,110.831896551724,111.5,232,15404.7198275862,15139.5,232,13765.3448275862,13153,232,14646.8965517241,14642
257,764990.711,6309956.078,22.458,0,232,17649.5043103448,17033.5,232,116.288793103448,117,232,15605.9784482759,15635.5,232,13540.8318965517,13104.5,232,15622.5948275862,15136
258,764990.099,6309957.713,22.485,0,235,18971.4255319149,18350,235,97.3021276595745,97,235,14984.8085106383,15093,235,15550.9446808511,15152,235,13356.6127659574,13334
259,764989.769,6309959.632,22.468,0,234,17242.7777777778,16530,234,100.337606837607,101,234,14695.1794871795,14591.5,234,14202.0085470085,13575.5,234,14594.3846153846,14620.5
260,764989.261,6309962.04,22.477,0,232,16461.375,16178.5,232,114.137931034483,113.5,232,15123.0689655172,15058,232,13147.849137931,12934,232,16636.9439655172,16678
261,764991.261,6309962.865,22.498,0,232,21483.0474137931,21234,232,77.7068965517241,78,232,15243.224137931,15138.5,232,19161.4224137931,18809,232,11361.9224137931,11326.5
262,764992.411,6309959.344,22.484,0,234,18185.9786324786,17623,234,89.7863247863248,90,234,14265.7222222222,14057.5,234,15470.2777777778,15095,234,12560.9743589744,12488
263,764992.815,6309957.199,22.482,0,232,18430,17755,232,85.3793103448276,85,232,14093.9784482759,13902.5,232,15919.2327586207,15176,232,12476.0603448276,12517.5
264,764993.999,6309953.296,22.462,1,232,19553.1422413793,18764.5,232,88.1163793103448,91,232,14392.5732758621,14298,232,16856.6422413793,16320,232,11851.2931034483,11913
265,764992.267,6309949.271,22.456,1,233,21437.4849785408,20293,233,114.540772532189,119,233,16268.1931330472,16159,233,17110.2317596567,16162,233,13547.5321888412,13500
266,764994.412,6309942.117,22.45,4,233,20410.364806867,20342,233,83.7854077253219,84,233,14716.8755364807,14670,233,18087.3347639485,17572,233,11200.3347639485,11114
267,764998.725,6309944.362,22.404,8,233,19134.8240343348,18799,233,97.3733905579399,98,233,14649.6995708154,14536,233,15552.7510729614,14960,233,12226.0686695279,12247
268,765001.928,6309944.442,22.331,18,233,16690.69527897,16405,233,122.081545064378,123,233,16540.6266094421,16330,233,11097.8669527897,11030,233,14723.9055793991,14738
269,765005.429,6309943.47,22.348,10,232,19504.1206896552,18628,232,91.2672413793103,92,232,14764.8706896552,14486.5,232,15504.0172413793,14861,232,11726.9353448276,11766
270,765009.145,6309947.483,22.336,10,234,23989.0256410256,23737,234,71.5128205128205,72,234,16095.9230769231,15995.5,234,20484.811965812,20189.5,234,10610.6709401709,10545.5
271,765013.664,6309950.605,22.323,10,234,25003.2136752137,24783,234,63.7564102564103,64,234,15755.8632478632,15647,234,24025.3803418803,23397.5,234,9516.92307692308,9464.5
272,765019.984,6309954.628,22.36,7,233,22549.5579399142,22819,233,74.5278969957082,73,233,14964.2188841202,14986,233,21237.5236051502,21306,233,9406.69957081545,9323
