field_1,field_2,field_3,field_4,field_5,G_count,G_mean,G_median,R_count,R_mean,R_median,NIR_count,NIR_mean,NIR_median,RE_count,RE_mean,RE_median,B_count,B_mean,B_median
1209,750338.789,6297666.84,25.323,0,234,16038.8931623932,16189.5,234,8527.15384615385,8438,234,25182.7948717949,24800.5,234,26850.6623931624,26877,234,43.9273504273504,38
1210,750339.931,6297666.31,25.317,1,233,15148.8626609442,14776,233,9518.64806866953,9403,233,18793.0987124464,17900,233,21421.7339055794,20266,233,61.68669527897,59
1211,750346.384,6297663.248,25.261,5,234,13732.5213675214,13337.5,234,8380.39743589744,8196.5,234,16512.9444444444,16301,234,18995.7905982906,18511,234,49.1880341880342,44
1212,750356.044,6297664.767,25.248,7,233,14605.2918454936,14089,233,8090.24034334764,7876,233,21524.2875536481,20764,233,22396.3433476395,21882,233,51.412017167382,49
1213,750371.365,6297666.204,25.207,12.5,234,13693.4102564103,13482.5,234,7368.57264957265,7262.5,234,22043.9401709402,21681.5,234,21603.9401709402,21216.5,234,35.7521367521367,33
1214,750373.868,6297662.26,25.185,11,234,13582.5512820513,13381.5,234,8874.4358974359,8583,234,15896.3717948718,15174.5,234,18024.0897435897,17252,234,60.0128205128205,56.5
1215,750380.551,6297656.874,25.145,10,234,14729.9358974359,14557.5,234,8056.86752136752,7990,234,21820.4957264957,21813,234,21793.2393162393,21823.5,234,39.1965811965812,38
1216,750386.889,6297653.041,25.136,4,232,16551.4827586207,15922.5,232,9056.20689655172,8724.5,232,24901.3663793103,24414.5,232,25075.2931034483,24750,232,45.0991379310345,38.5
1217,750396.822,6297649.653,25.076,4,232,17047.5387931034,16705.5,232,10909.9612068966,10675,232,20439.8663793103,20557,232,23612.7112068966,23684.5,232,55.0905172413793,55
1218,750404.049,6297646.88,24.979,7,234,12396.5598290598,12275,234,8372.96581196581,8276,234,14593.0769230769,14757.5,234,16097.5769230769,15677.5,234,53.5128205128205,46
1219,750419.683,6297644.779,25,5,232,17064.5905172414,17169,232,11071.4224137931,11024.5,232,18027.0172413793,18217,232,22262.0732758621,22201.5,232,58.2370689655172,51
1220,750430.361,6297639.312,25.036,9,232,16497.1551724138,16481.5,232,10406.3922413793,10285,232,19340.2456896552,19276.5,232,22719.3275862069,22526,232,52.4353448275862,51
1221,750430.364,6297639.367,25.039,9,232,15986.8534482759,15896.5,232,10300.1853448276,10100,232,18686.8706896552,18648.5,232,21693.4784482759,21723.5,232,51.2586206896552,50
1222,750444.836,6297637.444,25.039,9,236,17389.563559322,17162.5,236,10948.5593220339,10649,236,19682.6398305085,19239,236,23424.4788135593,23122.5,236,44.9110169491525,43
1223,750448.778,6297634.403,25.006,0,234,18302.8076923077,18101,234,12897.3717948718,12356,234,20010.3717948718,19829,234,24026.2478632479,23376.5,234,57.2179487179487,51
1224,750449.014,6297633.441,25.073,0,233,15475.7553648069,15337,233,11769.8969957082,11831,233,16939.6094420601,16138,233,19814.8326180257,18745,233,57.8540772532189,59
1225,750447.336,6297633.195,25.087,0,233,15416.4034334764,15426,233,10532.9871244635,10500,233,19107.1974248927,19087,233,21384.5407725322,21591,233,48.7038626609442,47
1226,750445.84,6297632.43,25.059,0,233,15537.6266094421,15421,233,10761.4506437768,10361,233,17556.321888412,17097,233,20385.5708154506,20218,233,52.4549356223176,50
1227,750444.574,6297631.569,25.009,0,236,14632.7330508475,14384.5,236,10227.4788135593,9999,236,16488.5084745763,16220.5,236,18981.8771186441,18385.5,236,54.8008474576271,52
1228,750442.911,6297630.508,25.026,0,235,14990.7234042553,14958,235,9345.43829787234,9276,235,19227.0085106383,19098,235,21187.0680851064,20961,235,41.931914893617,41
1229,750443.316,6297629.146,25.028,0,236,16169.7669491525,15836,236,10113.0720338983,9842,236,20261.3474576271,19973.5,236,22399.6398305085,22125.5,236,48.3389830508475,45
1230,750441.932,6297628.094,25.019,0,233,14137.2532188841,14000,233,9993.87124463519,9890,233,16042.5536480687,14821,233,18142.0729613734,17030,233,49.7639484978541,45
1231,750444.694,6297628.982,24.994,0,234,15316.0683760684,15084.5,234,9617.65384615385,9514.5,234,19693.4615384615,19771.5,234,21565.0085470085,21645,234,43.9017094017094,40.5
1232,750445.742,6297628.924,25.017,1,233,15084.4420600858,14907,233,9331.78111587983,9250,233,21418.991416309,21494,233,22125.4291845494,22077,233,42.7682403433476,40
1233,750446.757,6297628.726,25.006,1,233,13317.8454935622,13085,233,8478.89270386266,8401,233,17961.364806867,17935,233,19067.686695279,19040,233,37.175965665236,32
1234,750447.976,6297629.025,24.991,1,232,13349.7586206897,13125.5,232,8814.625,8657,232,16732.6724137931,17240,232,18251.0905172414,18224.5,232,42.4913793103448,39.5
1235,750449.207,6297630.681,25.039,0,234,16219.3461538462,16304.5,234,10313.5299145299,10258,234,19940.952991453,19657.5,234,22593.1068376068,22330,234,47.3205128205128,42
1236,750451.976,6297631.253,25.016,0,234,14437.5555555556,14812.5,234,9523.10256410256,9612.5,234,18056.9230769231,17942.5,234,19955.0256410256,20252.5,234,42.3333333333333,39
1237,750453.406,6297631.671,25.003,1,235,14573.6893617021,14630,235,9992.88936170213,9900,235,16481.8893617021,16083,235,19049.5404255319,18879,235,48.7106382978723,46
1238,750454.958,6297631.62,24.997,0,233,15445.0729613734,15164,233,9798.83261802575,9705,233,19825.652360515,19803,233,21979.7553648069,21752,233,43.5150214592275,39
1239,750458.752,6297633.112,24.969,7,235,17425.6808510638,17625,235,11308.3021276596,11344,235,18918.6425531915,19051,235,22704.9276595745,22820,235,51.8936170212766,48
1240,750466.559,6297628.706,24.943,7,234,17251.9188034188,16420,234,11490.0854700855,11137.5,234,19091.0042735043,18516,234,23080.5598290598,22226.5,234,54.0982905982906,48.5
1241,750476.991,6297626.414,24.966,5,234,14356.264957265,14262.5,234,9871.5811965812,9766,234,18189.9700854701,18327.5,234,20041.094017094,20146.5,234,47.3162393162393,45
