field_1,field_2,field_3,field_4,field_5,NIR_count,NIR_mean,NIR_median,R_count,R_mean,R_median,RE_count,RE_mean,RE_median,B_count,B_mean,B_median,G_count,G_mean,G_median
782,765254.082999999867752,6308568.669999999925494,20.338000000000001,12.000000000000000,243.000000000000000,14644.567901234566307,14077.000000000000000,243.000000000000000,10502.234567901236005,10212.000000000000000,243.000000000000000,17323.851851851850370,16308.000000000000000,243.000000000000000,59.238683127572017,56.000000000000000,243.000000000000000,13742.522633744856648,12756.000000000000000
783,765245.625000000000000,6308566.382000000216067,20.251000000000001,19.000000000000000,247.000000000000000,15087.323886639676857,13841.000000000000000,247.000000000000000,13556.550607287450475,13055.000000000000000,247.000000000000000,19055.319838056679146,17558.000000000000000,247.000000000000000,75.716599190283404,63.000000000000000,247.000000000000000,14837.854251012146051,14143.000000000000000
784,765236.866999999969266,6308549.461000000126660,20.359999999999999,4.000000000000000,242.000000000000000,22111.297520661155431,21945.000000000000000,242.000000000000000,12264.144628099173133,12032.000000000000000,242.000000000000000,25470.173553719003394,24779.500000000000000,242.000000000000000,71.822314049586780,70.000000000000000,242.000000000000000,18762.409090909095539,18417.500000000000000
785,765233.417999999946915,6308550.121999999508262,20.390000000000001,0.000000000000000,241.000000000000000,22807.589211618258560,22414.000000000000000,241.000000000000000,11629.684647302905432,11313.000000000000000,241.000000000000000,26171.157676348546374,25551.000000000000000,241.000000000000000,72.236514522821579,71.000000000000000,241.000000000000000,18844.547717842324346,18144.000000000000000
786,765221.738000000012107,6308541.775000000372529,20.454000000000001,0.000000000000000,242.000000000000000,24573.024793388427497,24531.000000000000000,242.000000000000000,13789.256198347107784,13733.000000000000000,242.000000000000000,27497.086776859505335,27373.500000000000000,242.000000000000000,87.500000000000000,89.000000000000000,242.000000000000000,20126.995867768593598,20163.000000000000000
787,765211.334000000031665,6308538.092000000178814,20.430000000000000,0.000000000000000,241.000000000000000,23301.107883817425318,23820.000000000000000,241.000000000000000,11798.966804979252629,11739.000000000000000,241.000000000000000,27351.817427385893097,27533.000000000000000,241.000000000000000,82.485477178423238,84.000000000000000,241.000000000000000,19476.481327800829604,19696.000000000000000
788,765210.131999999866821,6308535.740000000223517,20.376999999999999,0.000000000000000,243.000000000000000,9363.094650205761354,8571.000000000000000,243.000000000000000,8218.061728395061436,8058.000000000000000,243.000000000000000,11727.514403292181669,10457.000000000000000,243.000000000000000,48.716049382716051,43.000000000000000,243.000000000000000,10030.765432098763995,9188.000000000000000
789,765207.748000000021420,6308538.419999999925494,20.228999999999999,15.000000000000000,241.000000000000000,6738.365145228215624,6534.000000000000000,241.000000000000000,8555.879668049792599,8540.000000000000000,241.000000000000000,9547.178423236515300,9185.000000000000000,241.000000000000000,42.825726141078839,41.000000000000000,241.000000000000000,9016.755186721991777,8825.000000000000000
790,765201.937999999965541,6308542.980999999679625,20.311000000000000,10.000000000000000,244.000000000000000,8196.061475409836930,8115.000000000000000,244.000000000000000,8804.901639344261639,8647.000000000000000,244.000000000000000,10811.561475409836930,10696.000000000000000,244.000000000000000,43.049180327868854,41.500000000000000,244.000000000000000,9157.750000000000000,8928.000000000000000
791,765191.320999999996275,6308548.174999999813735,20.268999999999998,14.000000000000000,245.000000000000000,7272.310204081632946,6984.000000000000000,245.000000000000000,7668.665306122448783,7565.000000000000000,245.000000000000000,9701.575510204082093,9158.000000000000000,245.000000000000000,40.730612244897962,38.000000000000000,245.000000000000000,8678.514285714285506,8176.000000000000000
792,765186.243999999947846,6308549.334999999962747,20.390999999999998,0.000000000000000,244.000000000000000,6856.696721311475812,6661.000000000000000,244.000000000000000,7185.540983606557347,7154.500000000000000,244.000000000000000,9393.495901639344083,9238.000000000000000,244.000000000000000,33.282786885245905,32.000000000000000,244.000000000000000,8126.000000000000000,7926.000000000000000
793,765176.175999999977648,6308559.881000000052154,20.340000000000000,0.000000000000000,241.000000000000000,24881.522821576763818,23398.000000000000000,241.000000000000000,15374.107883817427137,15508.000000000000000,241.000000000000000,28993.917012448131572,27199.000000000000000,241.000000000000000,100.933609958506224,104.000000000000000,241.000000000000000,21410.228215767634538,20636.000000000000000
794,765174.847999999998137,6308559.963999999687076,20.405000000000001,0.000000000000000,245.000000000000000,15359.922448979592446,14719.000000000000000,245.000000000000000,14617.873469387755904,14739.000000000000000,245.000000000000000,17719.844897959184891,16117.000000000000000,245.000000000000000,93.477551020408157,94.000000000000000,245.000000000000000,15542.926530612245188,14823.000000000000000
795,765174.613000000012107,6308561.326000000350177,20.388000000000002,0.000000000000000,242.000000000000000,18494.400826446282736,18065.000000000000000,242.000000000000000,13499.851239669422284,13069.500000000000000,242.000000000000000,21560.888429752067168,20937.500000000000000,242.000000000000000,89.727272727272734,89.500000000000000,242.000000000000000,17087.008264462809166,16568.500000000000000
