field_1,field_2,field_3,field_4,field_5,G_count,G_mean,G_median,G_stdev,G_min,G_max,B_count,B_mean,B_median,B_stdev,B_min,B_max,R_count,R_mean,R_median,R_stdev,R_min,R_max,RE_count,RE_mean,RE_median,RE_stdev,RE_min,RE_max,NIR_count,NIR_mean,NIR_median,NIR_stdev,NIR_min,NIR_max
1372,772149.622,6306702.763,21.604,"10",12,0.00291592573436598,0.00297981966286898,0.000410699026484637,0.00236663594841957,0.00369669706560671,12,68.1616544723511,67.1049842834473,6.06952917748395,57.6574745178223,78.7622146606445,12,0.00218389759538695,0.00215267110615969,5.25006334524971e-05,0.0021361680701375,0.00230671837925911,12,0.00634183327201754,0.00670505361631513,0.0010909679990135,0.00457505229860544,0.0081321420148015,12,0.00882226430500547,0.00902128219604492,0.00143315938118438,0.00660242652520537,0.0109170209616423
1373,772146.821,6306696.679,21.651,"5",9,0.00251607084646821,0.002430907683447,0.000181876941351812,0.00234565255232155,0.00282587413676083,9,69.7426935831706,71.0606231689453,7.15948032869489,60.5420455932617,82.7436294555664,9,0.00211629413792657,0.00211821217089891,6.63397829707377e-05,0.00201919046230614,0.00223174598067999,9,0.00541992066428065,0.00516317971050739,0.000599657496337986,0.00474164308980107,0.00638663582503796,9,0.00810850934228963,0.00796422641724348,0.000763740753138858,0.00735125644132495,0.00949974078685045
1374,772146.038,6306694.322,21.645,"5.5",12,0.0030601352142791,0.00307062012143433,0.000448194797652535,0.00231287209317088,0.00367933907546103,12,78.9144846598307,77.9574737548828,6.52963375956208,70.2987060546875,89.9653930664062,12,0.00216494834360977,0.00216463196557015,6.25681983397292e-05,0.00204696273431182,0.0022970715072006,12,0.00737903092522174,0.00745124043896794,0.00137411107340743,0.00493970094248652,0.00964714959263802,12,0.0104359746910632,0.0105278599075973,0.00179154599810504,0.00752984452992678,0.0137612903490663
1375,772139.437,6306678.626,21.516,"8",11,0.00271928246895021,0.00280557689256966,0.000483915620475926,0.00202767946757376,0.0033657590392977,11,91.9498076005415,92.2721252441406,5.3397456504191,78.9287185668945,99.5947570800781,11,0.00205215537624264,0.0020419133361429,6.33674564267779e-05,0.00194748968351632,0.00214493600651622,11,0.00585421297529882,0.00610115518793464,0.00121625623500106,0.00381616316735744,0.00717369886115193,11,0.0080703184093264,0.00839590933173895,0.00147389459875531,0.00559811759740114,0.00982297863811255
1376,772136.076,6306662.629,21.474,"9.5",9,0.00329928524378273,0.00327038206160069,0.000338973938053694,0.00259314524009824,0.00371875241398811,9,109.019383748372,110.766296386719,8.93289624223101,89.3092651367188,120.777801513672,9,0.0024266189429909,0.0024295870680362,8.82165984158189e-05,0.00231409235857427,0.00261829211376607,9,0.00667636318960124,0.00656678015366197,0.000910377918520711,0.00488264439627528,0.00779516575857997,9,0.00759460202728709,0.00774620939046144,0.000727428697219658,0.00632450031116605,0.00864605419337749
1377,772134.473,6306652.71,21.506,"3",9,0.00237997815323373,0.00234213611111045,0.000133074188103668,0.00219102459959686,0.00258458685129881,9,98.3331722683377,98.8452911376953,6.52293119707389,89.1040878295898,107.847709655762,9,0.00224710424016747,0.00224097701720893,8.28255689786962e-05,0.00215327134355903,0.00240601482801139,9,0.00477264024731186,0.00465178722515702,0.000330203171165997,0.00440636835992336,0.00540006440132856,9,0.00681380751646227,0.00665462529286742,0.000447122504782227,0.00618146546185017,0.00786415860056877
1378,772132.829,6306649.367,21.461,"5",8,0.00228025046817493,0.0022203812841326,0.000267119796604477,0.00195261428598315,0.00281045236624777,8,84.9493789672852,85.0654754638672,5.44075994566248,78.4686965942383,92.9676284790039,8,0.00194713272503577,0.00195493560750037,5.47900386402793e-05,0.00182691693771631,0.00202498864382505,8,0.00470419198973104,0.00441160099580884,0.000844277111220994,0.00386368203908205,0.00628548813983798,8,0.0071164479595609,0.00672891503199935,0.00118218358835058,0.00575196323916316,0.0093741100281477
1379,772130.639,6306640.031,21.434,"7",9,0.00213584210723639,0.00213669030927122,3.28168827365198e-05,0.00207579880952835,0.00218974240124226,9,106.787674797906,106.958503723145,0.742380195636687,104.984527587891,107.850952148438,9,0.00246878770283527,0.00245992396958172,4.64125725128431e-05,0.00240322505123913,0.0025519197806716,9,0.00327129659449889,0.00326404860243201,7.47804144430142e-05,0.00312310457229614,0.00336824217811227,9,0.00306080338648624,0.00305784842930734,6.98418210982174e-05,0.00294576724991202,0.00317028560675681
1380,772129.355,6306635.159,21.413,"8.5",10,0.00242091524414718,0.00238302128855139,0.000191192042819302,0.00219063158147037,0.00290655065327883,10,94.2110939025879,93.8714141845703,4.27411544302173,86.6488647460938,103.018798828125,10,0.00209346585907042,0.00209868780802935,3.1160450082914e-05,0.00204402534291148,0.0021452927030623,10,0.00443550078198314,0.00440369010902941,0.000442529654912824,0.00400550523772836,0.00563603034242988,10,0.00567546915262938,0.00554301915690303,0.00046923386214179,0.00512285763397813,0.00683807488530874
1381,772128.605,6306630.55,21.366,"6.5",9,0.00231861447294553,0.00225326791405678,0.000249121334277334,0.00206681457348168,0.00279989605769515,9,81.7563612196181,75.6768569946289,10.0308327590502,71.0171585083008,100.797584533691,9,0.00177815825574928,0.00176106207072735,5.53796697532704e-05,0.00170710240490735,0.00188305333722383,9,0.00478993164789345,0.00456937402486801,0.000755298722009902,0.00408173631876707,0.00624196929857135,9,0.00739053745443622,0.00706632016226649,0.000938462773401808,0.0064144404605031,0.00936420541256666
