field_1,field_2,field_3,field_4,field_5,NIR_count,NIR_mean,NIR_median,RE_count,RE_mean,RE_median,B_count,B_mean,B_median,R_count,R_mean,R_median,G_count,G_mean,G_median
146,765019.009,6310006.123,22.334,18,9,18900.6666666667,18631,9,21729.1111111111,21153,9,83.2222222222222,90,9,9009.22222222222,8939,9,15203.2222222222,15651
147,765012.098,6309996.993,22.378,11,10,18737,18799.5,10,21391.9,21455,10,89.2,89,10,10439.1,10377.5,10,14986.4,14677
148,765005.548,6309996.476,22.36,13,9,21976.4444444444,22020,9,23854.4444444444,23837,9,83.6666666666667,84,9,10117.3333333333,10230,9,15262.8888888889,15801
149,764999.949,6309994.471,22.393,9.5,9,14530.4444444444,14349,9,17202.3333333333,15526,9,99.2222222222222,95,9,11696,11511,9,14147.3333333333,13252
150,764999.43,6309997.5,22.4,10,10,14034.2,14167.5,10,18755.1,18803,10,110.3,114,10,11900.1,11873.5,10,15567.5,15870
151,764996.588,6310001.625,22.37,12,9,15350.2222222222,14290,9,17690.7777777778,16179,9,98.6666666666667,97,9,11246.8888888889,11230,9,14686.1111111111,14298
152,764992.891,6310006.141,22.375,12,9,9449,9306,9,13044.4444444444,12748,9,102.555555555556,101,9,14402,14488,9,13563,13585
153,764989.094,6310010.35,22.411,9,9,14841.8888888889,14895,9,19962,20532,9,112,115,9,13120.3333333333,13228,9,16503,16936
154,764984.348,6310009.937,22.402,8,12,18133.75,17808,12,22104.75,22493.5,12,86.8333333333333,88,12,12322.5,12202,12,16732.8333333333,16783
155,764981.333,6310014.123,22.376,12,9,18025,19220,9,20174,21161,9,89.8888888888889,92,9,10491,10261,9,14166.7777777778,14393
156,764978.162,6310019.206,22.365,10,9,9794,9605,9,12886.1111111111,12364,9,113.666666666667,113,9,13259.6666666667,13245,9,13194.1111111111,13186
157,764975.989,6310021.225,22.364,12,9,13621.2222222222,13370,9,16751.6666666667,16010,9,94,96,9,11534.8888888889,11439,9,14355,14087
158,764972.156,6310023.165,22.359,14,9,13576.7777777778,12805,9,17659.7777777778,16742,9,109,110,9,12170.6666666667,12109,9,15147.4444444444,14224
159,764971.245,6310024.702,22.354,15,10,8862.2,8857.5,10,14444.6,14433.5,10,121,123,10,16728.2,16892.5,10,15458.4,15529.5
160,764965.159,6310023.251,22.363,10,10,11885.9,11877,10,15644.5,15324.5,10,99.6,97.5,10,12961.4,13000,10,15164.8,15189
161,764959.589,6310022.045,22.353,14,9,10933.8888888889,10542,9,14221.8888888889,13762,9,105.666666666667,108,9,12142.8888888889,12048,9,13782.1111111111,13737
162,764952.535,6310022.21,22.386,12,9,13948.1111111111,13609,9,16470,15849,9,88.6666666666667,86,9,11626.6666666667,11671,9,14437.4444444444,14331
163,764948.654,6310025.038,22.377,9,9,11966,11230,9,14805.5555555556,14148,9,97.3333333333333,104,9,12229.7777777778,12254,9,13482.1111111111,13290
164,764945.099,6310028.101,22.416,9,9,20819.8888888889,20812,9,25893,26224,9,84.4444444444444,87,9,11473.7777777778,11487,9,17277,17668
165,764943.673,6310032.527,22.401,8,9,13220,12513,9,15127,14897,9,100.333333333333,102,9,11699.5555555556,11683,9,13294,13341
166,764938.569,6310031.688,22.396,10,9,16555.1111111111,15708,9,18067.4444444444,17127,9,77.1111111111111,75,9,10725.6666666667,10651,9,14442.6666666667,14300
167,764936.193,6310036.691,22.396,13,10,18961.5,19491.5,10,21622.7,21189.5,10,82.8,87.5,10,10827.9,10792.5,10,15662.5,15607.5
168,764930.76,6310035.91,22.383,9,9,13206.1111111111,13268,9,17271.6666666667,17054,9,111.888888888889,112,9,13407.6666666667,13568,9,15589.2222222222,15675
169,764927.227,6310029.768,22.393,18.5,8,16521.25,16235,8,18665.625,18025,8,80.75,80,8,12471.125,12796,8,16019.625,15656.5
170,764925.286,6310023.962,22.405,7.5,9,16995.6666666667,17351,9,18937.1111111111,19074,9,75.8888888888889,84,9,11724,11730,9,15444.3333333333,15582
171,764925.294,6310020.657,22.4,7,9,14321.7777777778,14380,9,16967.8888888889,16917,9,98.8888888888889,97,9,12177.2222222222,12072,9,14863.1111111111,14880
172,764923.67,6310018.326,22.431,6,9,14906.6666666667,14348,9,16192.4444444444,15278,9,77.1111111111111,76,9,11167.6666666667,11211,9,13643,13659
173,764923.058,6310017.052,22.399,7,10,17217.3,16845,10,20885.6,20365.5,10,98.6,99.5,10,11458.1,11700,10,15836.7,16020
174,764920.351,6310014.326,22.405,6,9,13550.8888888889,13161,9,16756.3333333333,16698,9,114,114,9,12908,12842,9,14663.4444444444,14657
175,764917.541,6310012.458,22.471,0,8,15125.125,14855.5,8,18271.875,17912.5,8,103.875,106.5,8,13830.25,13611.5,8,14534.125,14565
176,764916.808,6310014.042,22.478,0,10,18364.5,18997.5,10,21018.5,21471,10,60,58,10,11025,10897,10,15101.8,15298.5
177,764916.757,6310015.733,22.489,0,9,16855.1111111111,16941,9,17468.5555555556,17578,9,63.1111111111111,65,9,10779.1111111111,10791,9,12809.5555555556,12880
178,764916.272,6310017.269,22.493,0,9,13862.2222222222,13569,9,15677.2222222222,15331,9,89.7777777777778,93,9,12803.1111111111,12829,9,13302.8888888889,13079
179,764916.218,6310018.958,22.468,1,10,16636.2,16580.5,10,19300,18915.5,10,86.6,83,10,11815.3,11827,10,14842,15195.5
180,764915.032,6310017.284,22.468,0,9,19891.3333333333,19791,9,21184.2222222222,21990,9,64.5555555555556,57,9,10106.5555555556,9927,9,14681.8888888889,14643
181,764914.959,6310015.465,22.481,0,9,19290.7777777778,19586,9,21733.3333333333,22621,9,69.2222222222222,74,9,10892.1111111111,11102,9,15816.6666666667,16216
182,764914.798,6310013.77,22.452,0,10,13543,13509,10,14448.7,14400,10,78.2,76.5,10,11320.7,11115,10,11533.3,11412
183,764915.378,6310009.595,22.46,0,10,14884.5,14242.5,10,17357.2,16300.5,10,81.2,85,10,11068.5,11273.5,10,13377.2,13078.5
184,764916.744,6310008.014,22.484,0,9,14491.6666666667,14003,9,15763.7777777778,14751,9,69.6666666666667,65,9,10550.7777777778,10552,9,12076.5555555556,11731
185,764916.818,6310006.384,22.453,0,9,16243.2222222222,16198,9,17855.3333333333,17222,9,69.7777777777778,66,9,11504.5555555556,11526,9,13450.8888888889,13583
186,764917.261,6310004.755,22.483,0,9,20801.8888888889,21542,9,26089.7777777778,26744,9,57.8888888888889,58,9,12080.7777777778,11997,9,17743.6666666667,18140
187,764917.718,6310003.764,22.478,1,8,14734.875,14354.5,8,18481.5,18231.5,8,102.625,106,8,14193.5,14553.5,8,15819.125,15823
188,764919.286,6310003.167,22.464,1,9,12493.4444444444,12471,9,16036.8888888889,16080,9,107.444444444444,108,9,15552.5555555556,15340,9,14926.2222222222,14976
189,764919.202,6310005.957,22.446,2,8,14959.5,14720.5,8,18649.625,18770.5,8,105.125,103.5,8,12927.625,12845,8,15311.125,15663.5
190,764912.979,6310009.505,22.429,4,12,21456.3333333333,21702,12,24775.0833333333,24762,12,103.5,103.5,12,11428.75,11500,12,16738.5833333333,16485
191,764911.166,6310007.606,22.445,4,9,22869.1111111111,22823,9,25238.2222222222,24704,9,81.8888888888889,82,9,10707,10740,9,16203,16276
