field_1,field_2,field_3,field_4,field_5,B_count,B_mean,B_median,B_stdev,B_min,B_max,G_count,G_mean,G_median,G_stdev,G_min,G_max,R_count,R_mean,R_median,R_stdev,R_min,R_max,RE_count,RE_mean,RE_median,RE_stdev,RE_min,RE_max,NIR_count,NIR_mean,NIR_median,NIR_stdev,NIR_min,NIR_max
65,750212.505,6297028.727,25.945,"12",9,45.5555555555556,43,7.91778744503105,32,59,9,14597,14011,1572.89513671799,12819,16949,9,10155.2222222222,11135,1715.66908087245,7741,12193,9,18840,18145,1925.00828281046,16916,23174,9,16022.6666666667,16111,1261.9375754943,14039,18429
66,750216.597,6297028.618,25.901,"7",12,44,45.5,20.2484567313166,14,79,12,17283.6666666667,16826,3013.9103429856,13708,22707,12,11558.8333333333,11386,1856.72807349081,9031,15335,12,25498.5,24598,3888.27696415777,19887,32730,12,22303,22472,684.919824991704,20905,23184
67,750220.88,6297027.648,25.785,"10",10,47.5,41,22.9008733457919,25,110,10,13320.8,13099,1767.1775688934,10388,16756,10,8394.6,8035,1613.4383285394,6431,11534,10,18529.8,17698.5,2841.68977194908,15434,23479,10,15480.2,15071,1490.6610479918,14078,19690
68,750224.67,6297026.837,25.737,"9",9,92.1111111111111,98,16.2237442208391,69,113,9,23923,24189,3197.94322790272,20299,29621,9,13643.2222222222,13727,1929.96170242819,11249,16882,9,38960.3333333333,38268,8655.98825476714,29512,54164,9,31059.7777777778,29130,6258.51806700769,23654,43223
69,750228.852,6297027.619,25.659,"3",9,61.2222222222222,57,15.0685675628131,48,99,9,14950,14832,1510.58943609587,13055,17910,9,8332,8509,573.749848704894,6857,8950,9,21122.8888888889,20936,2068.9052630931,17049,24205,9,19188.4444444444,19690,1989.10226043538,15395,21724
70,750231.754,6297028.343,25.633,"10",9,57.4444444444444,64,28.8525412364746,18,106,9,21317.5555555556,21044,2520.8100158089,16757,25647,9,11331.2222222222,11810,1495.97569631014,8711,13502,9,43065.6666666667,43653,4706.10929183191,35579,49482,9,43576.1111111111,43120,3992.69562087916,36909,48927
71,750234.92,6297028.459,25.547,"12",9,72,73,4.54606056566195,65,80,9,8246.77777777778,8300,425.523932680584,7404,8876,9,6688.66666666667,6819,530.026414436111,5819,7425,9,7669.88888888889,7707,479.52996533514,6692,8456,9,7558.33333333333,7626,288.198619782338,7063,7968
72,750238.669,6297028.028,25.538,"8",9,66.4444444444444,60,24.3680624821877,37,108,9,17278.2222222222,17505,1236.90426987682,15007,18993,9,8124.55555555556,8084,977.576039794474,6967,9765,9,30289,30005,2947.14045964709,26416,36778,9,26216.3333333333,27377,2267.22782269449,22941,29036
73,750238.62,6297028.083,25.537,"8",9,47.4444444444444,51,10.7301352493403,30,62,9,14151.8888888889,13675,1736.28559123233,11524,16975,9,7654.77777777778,7531,888.706647985059,6553,9272,9,22140.2222222222,22344,2665.01789770008,18264,26416,9,19228.4444444444,18781,2373.4932582406,15627,23644
74,750242.176,6297030.666,25.46,"9",9,59.3333333333333,61,8.67947771086102,46,72,9,9365.11111111111,9239,597.045586281957,8467,10213,9,6138.22222222222,6157,277.144478076679,5779,6618,9,10774.1111111111,10868,734.592017448301,9846,12478,9,10490.2222222222,10528,360.826143970804,10023,11230
