field_1,field_2,field_3,field_4,field_5,NIR_count,NIR_mean,NIR_median,G_count,G_mean,G_median,B_count,B_mean,B_median,RE_count,RE_mean,RE_median,R_count,R_mean,R_median
1065,750097.204,6297637.259,25.346,6,10,18213,18083,10,15820.2,15284.5,10,55.4,53,10,21245.5,20133.5,10,10174.3,10248.5
1066,750092.894,6297638.12,25.348,4,9,21806.1111111111,22546,9,16481.5555555556,16494,9,57.8888888888889,62,9,23486.2222222222,24389,9,11433,11308
1067,750089.149,6297638.942,25.33,6,9,23877.5555555556,24226,9,17207.7777777778,16853,9,56.8888888888889,56,9,25335.1111111111,25731,9,11537.5555555556,11378
1068,750092.596,6297641.199,25.297,7,9,28703.1111111111,29139,9,22293.1111111111,23668,9,70.6666666666667,57,9,31819.7777777778,33146,9,13154.1111111111,13284
1069,750099.003,6297639.991,25.355,6,9,17077.5555555556,16357,9,14025.1111111111,14574,9,43.8888888888889,41,9,19363.7777777778,19721,9,10418.8888888889,10444
1070,750104.493,6297640.104,25.353,5,9,20327.8888888889,20385,9,16758.7777777778,17022,9,42.1111111111111,53,9,22684.6666666667,22691,9,9988.22222222222,9841
1071,750106.004,6297638.82,25.3,5,9,22079.1111111111,22909,9,15832,15889,9,47.2222222222222,46,9,24639.8888888889,25630,9,11316.1111111111,10763
1072,750096.104,6297622.913,25.346,0,9,21828.8888888889,22351,9,19696.8888888889,19587,9,70,60,9,27336.1111111111,28167,9,14138.3333333333,14248
1073,750098.74,6297622.156,25.323,0,9,11863.2222222222,11284,9,10167.6666666667,9154,9,33.2222222222222,28,9,12828.6666666667,12545,9,9776,9426
1074,750100.288,6297620.758,25.335,0,9,19342.1111111111,19632,9,19445.5555555556,20330,9,60.3333333333333,53,9,25246.6666666667,25249,9,13884.4444444444,13443
1075,750099.266,6297619.922,25.306,0,9,16906.1111111111,16752,9,15416.7777777778,14169,9,68.1111111111111,65,9,19755.2222222222,18814,9,9541.77777777778,9267
1076,750097.351,6297618.746,25.333,2,9,15352.2222222222,15647,9,13953.1111111111,13690,9,45.1111111111111,33,9,17519.4444444444,17315,9,9364.77777777778,9258
1077,750092.593,6297619.316,25.336,3,12,24046.25,24975,12,18950.8333333333,19139.5,12,33.1666666666667,29,12,28723.25,30234.5,12,11923.5,12194.5
1078,750090.827,6297617.183,25.357,0,9,17155.6666666667,17214,9,15402.1111111111,15301,9,43.3333333333333,37,9,20643.6666666667,21209,9,11096,10936
1079,750085.585,6297614.272,25.253,12,10,13233.5,12786,10,12602.3,12731.5,10,50.1,53,10,15415.9,14880,10,8846.9,8710.5
