field_1,field_2,field_3,field_4,field_5,R_count,R_mean,R_median,G_count,G_mean,G_median,B_count,B_mean,B_median,RE_count,RE_mean,RE_median,NIR_count,NIR_mean,NIR_median
437,765096.202,6308857.93,20.737,0,9,11031,11161,9,15002,14931,9,64.3333333333333,43,9,17471.3333333333,17979,9,13648.3333333333,14296
438,765097.184,6308857.642,20.777,0,9,8640.77777777778,8203,9,9926,9162,9,43.5555555555556,42,9,12962.6666666667,12453,9,12144.2222222222,11969
439,765098.35,6308858.118,20.728,4,9,12132.7777777778,11997,9,17046.3333333333,17726,9,54.5555555555556,44,9,22324.5555555556,23228,9,17442.6666666667,17635
440,765100.364,6308857.859,20.772,4,10,9184.8,9004,10,12180.9,12002,10,45.8,40,10,15187.1,14188,10,14875.7,14009.5
441,765100.405,6308857.887,20.77,0,9,9118.88888888889,8689,9,11476.7777777778,11069,9,36.6666666666667,34,9,14070.7777777778,13768,9,13632.1111111111,13687
442,765101.11,6308858.133,20.774,0,9,8605.55555555555,8821,9,11180,11219,9,32.2222222222222,36,9,13902.7777777778,13737,9,13910.7777777778,13512
443,765100.931,6308859.683,20.785,1,10,13100.2,13189.5,10,18503,18506.5,10,74.3,80.5,10,24230.3,24501,10,21294.8,21248
444,765102.253,6308860.426,20.782,1,9,10607.8888888889,10801,9,14085.5555555556,14036,9,66.4444444444444,54,9,16803.2222222222,16713,9,14624.7777777778,14801
445,765103.112,6308861.288,20.789,0,10,13395.2,14036.5,10,20742.9,20556.5,10,61.5,52.5,10,25436.9,25218.5,10,20217.6,20480.5
446,765104.079,6308861.155,20.763,0,12,10649.1666666667,10670,12,15310.9166666667,14521.5,12,54,53.5,12,20343.0833333333,19690.5,12,18752.5,18354
447,765099.305,6308855.443,20.736,2,12,11637.0833333333,12156.5,12,14965.3333333333,15137,12,48.8333333333333,42.5,12,17693.0833333333,17721,12,13821.75,13431.5
448,765098.524,6308852.088,20.77,1,9,8731.44444444445,7891,9,11735.3333333333,11069,9,43.3333333333333,29,9,15327.6666666667,14358,9,15185.8888888889,15257
449,765098.918,6308849.211,20.742,1,9,8967.11111111111,8848,9,10928.4444444444,11024,9,41,32,9,13011.5555555556,12654,9,12955.8888888889,11956
450,765099.971,6308840.076,20.755,2.5,9,8694,8685,9,11565,11248,9,41.8888888888889,40,9,14595.3333333333,15574,9,14533.5555555556,14103
451,765100.333,6308838.612,20.756,4,12,7152.41666666667,7069,12,9447.75,9164,12,28.1666666666667,23,12,13181.1666666667,13097.5,12,13334.0833333333,13301.5
452,765098.626,6308836.052,20.734,4.5,12,8429.58333333333,8573,12,11182.3333333333,10827.5,12,36.6666666666667,25,12,14371.0833333333,14170.5,12,13094.5,13160.5
453,765098.9,6308831.774,20.711,4,10,8245.7,8179,10,11551.1,10708,10,29.2,26,10,15228.6,14151,10,14518.4,13428
454,765099.068,6308825.56,20.75,1,9,16780.5555555556,18242,9,23850,25318,9,101.111111111111,107,9,29679.6666666667,31267,9,21183.3333333333,22707
455,765098.922,6308824.672,20.785,0,10,10829,11075.5,10,14486.7,14874.5,10,53.7,47.5,10,17820.2,18153.5,10,13633.7,13363
456,765099.344,6308821.774,20.727,2,10,9995,9497.5,10,12880.4,11629.5,10,43.2,39,10,16381.2,14752.5,10,14356.6,13085.5
