field_1,field_2,field_3,field_4,field_5,B_count,B_mean,B_median,B_stdev,B_min,B_max,G_count,G_mean,G_median,G_stdev,G_min,G_max,R_count,R_mean,R_median,R_stdev,R_min,R_max,RE_count,RE_mean,RE_median,RE_stdev,RE_min,RE_max,NIR_count,NIR_mean,NIR_median,NIR_stdev,NIR_min,NIR_max
"465","765097.656","6308812.894","20.756","1","10","60.4","58.5","29.6148611342346","23","133","10","12369.7","11376.5","2879.44025984218","9156","18612","10","10899.2","10159","2247.69716821461","8799","16312","10","14820.3","14361.5","3090.60757942512","11657","22187","10","12791.5","11953","1854.45869460606","10461","16390"
"466","765097.346","6308811.427","20.712","3","10","121.7","128.5","35.8275034017164","52","163","10","21791.4","22356.5","5343.56647193614","13470","29750","10","17093.9","19072","4277.74988633043","9823","22368","10","23785.6","25619","6579.17286898589","14180","33252","10","17658.1","18837","2667.91718199797","13311","20760"
"467","765097.579","6308805.267","20.625","16","10","90.7","78","34.710373089323","44","140","10","20149","20511","3681.61203822456","14523","26317","10","19338.2","19466","2968.47738074589","14175","23778","10","20684.5","20720.5","3661.20387987339","14302","26215","10","13102.5","13218.5","2054.4184700299","10167","17062"
"468","765080.337","6308801.17","20.686","8","10","24.9","20","14.8959726100715","15","68","10","8610.2","7292","2832.15698011251","6202","16142","10","6313.6","6086.5","971.918638570122","5289","8863","10","9791.5","8954.5","2319.89436181909","7555","15641","10","10766","9767","2326.98611942573","8600","16889"
"469","765076.475","6308794.983","20.719","6","8","56.5","52","31.7214438511238","18","108","8","16065.75","15772.5","2670.72610679193","12798","21150","8","10344.125","10259.5","849.588935530001","9289","11939","8","20687.375","20499.5","3440.15413671757","15802","27895","8","20227.5","20160.5","2328.80763482088","16980","24394"
"470","765069.478","6308791.363","20.722","4","9","41.3333333333333","24","42.2637222949212","13","151","9","11522.5555555556","9180","4346.25335742333","7047","21262","9","9157","8325","2556.88869092453","6585","14477","9","13234.6666666667","11253","3855.78465857902","9436","20882","9","12301.8888888889","10892","2570.360391698","9479","17202"
"471","765069.515","6308790.685","20.755","3","10","48.3","33.5","22.1452026407527","26","88","10","10350.6","10272","2116.5867900939","7642","13569","10","9430.5","9300","1267.43648756062","7700","11642","10","10841.9","10480.5","1851.38793611712","8766","14278","10","9752.5","9415","1385.954851357","8255","12380"
"472","765069.442","6308790.014","20.746","1","10","26.9","25","7.06328535456412","18","38","10","7385.4","7192.5","815.058672734669","6698","9698","10","6891.8","6828.5","537.485218401399","6270","8211","10","8787.4","8637.5","480.881107967448","8334","9913","10","8518.7","8281","630.338329788059","7985","10116"
"473","765068.936","6308789.163","20.741","3.5","9","44.2222222222222","50","22.8316436249624","9","71","9","13531.8888888889","13259","1414.82566216513","11631","15743","9","10599.2222222222","10647","938.833765640208","9483","12726","9","16615.5555555556","16098","1407.44221204528","15123","19511","9","14274.1111111111","13782","1382.28791376587","12803","17287"
"474","765068.303","6308788.269","20.744","5","9","24.7777777777778","24","2.19988776369148","22","28","9","7244.66666666667","7202","548.889181286472","6432","8236","9","6871.22222222222","6892","377.131506028741","6222","7390","9","9039","8609","1126.80748626867","8147","11844","9","8809.77777777778","8709","346.389240844515","8381","9609"
